
="",="(1)"
="",="p524a1"

="p208a",="-0.433"
="",="(-0.14)"

="p207",="90.674"
="",="(0.69)"

="_cons",="533.406*"
="",="(3.08)"

="N",="112"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
