
="",="(1)"
="",="p524a1"

="p208a",="47.720"
="",="(2.14)"

="p207",="-304.062"
="",="(-1.04)"

="_cons",="-559.019"
="",="(-0.79)"

="N",="10"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
