
="",="(1)"
="",="p524a1"

="p208a",="32.845"
="",="(.)"

="p207",="-50.446"
="",="(.)"

="_cons",="-248.798"
="",="(.)"

="N",="15"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
