Ubigeo,ubigeogroup
130203,638
130204,639
130205,640
130206,641
130207,642
130208,643
130401,644
130402,645
130403,646
130501,647
130502,648
130503,649
130601,650
130602,651
130605,652
130611,653
130613,654
130614,655
130701,656
130702,657
130704,658
130705,659
130802,660
130806,661
130808,662
130811,663
130813,664
130901,665
130902,666
130908,667
131001,668
131003,669
131006,670
131101,671
131103,672
131104,673
131201,674
131202,675
131203,676
140101,677
140102,678
140103,679
140104,680
140105,681
140106,682
140107,683
140108,684
140110,685
140111,686
140112,687
140113,688
140114,689
140115,690
140116,691
140117,692
140118,693
140119,694
140120,695
140201,696
140202,697
140203,698
140204,699
140205,700
140206,701
140301,702
140303,703
140304,704
140305,705
140306,706
140307,707
140308,708
140310,709
140311,710
140312,711
150101,712
150102,713
150103,714
150104,715
150105,716
150106,717
150107,718
150108,719
150109,720
150110,721
150111,722
150112,723
150113,724
150114,725
150115,726
150116,727
150117,728
150118,729
150119,730
150120,731
150121,732
150122,733
150123,734
150124,735
150125,736
150128,737
150129,738
150130,739
150131,740
150132,741
150133,742
150134,743
150135,744
150136,745
150137,746
150138,747
150139,748
150140,749
150141,750
150142,751
150143,752
150201,753
150202,754
150203,755
150204,756
150205,757
150301,758
150304,759
150401,760
150402,761
150404,762
150406,763
150407,764
150501,765
150504,766
150505,767
150506,768
150507,769
150508,770
150509,771
150510,772
150511,773
150512,774
150513,775
150514,776
150515,777
150516,778
150601,779
150603,780
150604,781
150605,782
150606,783
150612,784
150701,785
150702,786
150704,787
150707,788
150713,789
150714,790
150715,791
150721,792
150722,793
150723,794
150727,795
150728,796
150731,797
150801,798
150802,799
150805,800
150806,801
150807,802
150810,803
150811,804
150812,805
150901,806
150904,807
150906,808
151004,809
151007,810
151008,811
151020,812
151023,813
151024,814
151032,815
160101,816
160102,817
160103,818
160104,819
160105,820
160106,821
160107,822
160108,823
160110,824
160112,825
160113,826
160201,827
160202,828
160206,829
160210,830
160211,831
160301,832
160304,833
160305,834
160401,835
160402,836
160403,837
160404,838
160501,839
160504,840
160507,841
160509,842
160601,843
160603,844
160604,845
160606,846
160701,847
160703,848
160704,849
160706,850
160801,851
170101,852
170102,853
170103,854
170104,855
170201,856
170202,857
170203,858
170204,859
170301,860
170302,861
170303,862
180101,863
180102,864
180103,865
180104,866
180105,867
180106,868
180201,869
180202,870
180204,871
180205,872
180206,873
180207,874
180208,875
180209,876
180211,877
180301,878
180302,879
180303,880
190101,881
190102,882
190103,883
190104,884
190105,885
190106,886
190107,887
190108,888
190109,889
190111,890
190112,891
190113,892
190201,893
190202,894
190203,895
190204,896
190206,897
190207,898
190208,899
190301,900
190302,901
190303,902
190304,903
190306,904
190307,905
190308,906
200101,907
200104,908
200105,909
200107,910
200109,911
200110,912
200111,913
200114,914
200115,915
200201,916
200202,917
200203,918
200205,919
200206,920
200208,921
200210,922
200301,923
200302,924
200303,925
200304,926
200305,927
200306,928
200308,929
200401,930
200402,931
200403,932
200404,933
200405,934
200406,935
200407,936
200408,937
200409,938
200410,939
200501,940
200504,941
200505,942
200506,943
200507,944
200601,945
200602,946
200604,947
200605,948
200606,949
200607,950
200701,951
200703,952
200705,953
200801,954
200802,955
200803,956
200804,957
200805,958
210101,959
210102,960
210106,961
210112,962
210201,963
210203,964
210204,965
210206,966
210208,967
210210,968
210212,969
210214,970
210215,971
210301,972
210304,973
210306,974
210307,975
210309,976
210310,977
210401,978
210403,979
210406,980
210407,981
210501,982
210503,983
210601,984
210603,985
210605,986
210607,987
210701,988
210702,989
210705,990
210708,991
210801,992
210802,993
210806,994
210809,995
210901,996
211002,997
211004,998
211101,999
211103,1000
211104,1001
211105,1002
211201,1003
211203,1004
211204,1005
211205,1006
211208,1007
211209,1008
211301,1009
211305,1010
220101,1011
220102,1012
220104,1013
220105,1014
220106,1015
220201,1016
220202,1017
220203,1018
220204,1019
220205,1020
220206,1021
220301,1022
220303,1023
220304,1024
220305,1025
220401,1026
220404,1027
220405,1028
220501,1029
220502,1030
220503,1031
220504,1032
220505,1033
220506,1034
220510,1035
220601,1036
220602,1037
220603,1038
220604,1039
220605,1040
220701,1041
220702,1042
220708,1043
220710,1044
220801,1045
220802,1046
220803,1047
220804,1048
220805,1049
220807,1050
220809,1051
220901,1052
220904,1053
220907,1054
220908,1055
220909,1056
220910,1057
221001,1058
221002,1059
221003,1060
221005,1061
230101,1062
230102,1063
230103,1064
230104,1065
230105,1066
230106,1067
230107,1068
230108,1069
230109,1070
230110,1071
230111,1072
230201,1073
230203,1074
230206,1075
230301,1076
230302,1077
230303,1078
230401,1079
230408,1080
240101,1081
240102,1082
240103,1083
240104,1084
240105,1085
240106,1086
240201,1087
240202,1088
240203,1089
240301,1090
240302,1091
240303,1092
240304,1093
250101,1094
250102,1095
250103,1096
250104,1097
250105,1098
250106,1099
250107,1100
250201,1101
250202,1102
250203,1103
250301,1104
250302,1105
250303,1106
250305,1107
250401,1108
