Ubigeo,Densidad
040513,4.05
040514,0.58
040515,2.34
040516,1.84
040517,1.00
040518,2.57
040519,1.91
040520,36.97
040600,2.32
040601,2.62
040602,0.80
040603,2.30
040604,1.72
040605,2.40
040606,6.19
040607,0.39
040608,3.72
040700,13.39
040701,25.05
040702,5.43
040703,51.15
040704,13.36
040705,11.60
040706,8.38
040800,2.70
040801,17.51
040802,9.58
040803,3.50
040804,2.05
040805,1.43
040806,1.56
040807,1.92
040808,4.76
040809,0.96
040810,7.00
040811,1.42
050000,14.07
050100,91.03
050101,1197.92
050102,16.94
050103,27.92
050104,1569.56
050105,12.33
050106,17.62
050107,57.67
050108,43.44
050109,17.11
050110,3268.93
050111,15.68
050112,34.60
050113,32.99
050114,14.68
050115,1155.75
050116,3163.56
050200,16.12
050201,29.30
050202,19.91
050203,29.50
050204,16.02
050205,5.20
050206,26.63
050300,2.94
050301,2.48
050302,7.58
050303,1.95
050304,3.14
050400,23.13
050401,204.75
050402,4.01
050403,43.81
050404,43.72
050405,42.23
050406,11.46
050407,10.24
050408,21.45
050409,14.37
050410,11.74
050411,4.49
50412,17.44
050500,16.40
050501,22.55
050502,9.92
050503,31.95
050504,10.46
050505,3.86
050506,9.40
050507,28.41
050508,32.40
050509,24.32
050510,14.85
50511,#DIV/0!
050600,3.54
050601,16.07
050602,3.21
050603,5.43
050604,3.55
050605,5.42
050606,2.19
050607,5.05
050608,2.01
050609,1.04
050610,1.85
050611,2.26
050612,2.70
050613,2.59
050614,1.35
050615,4.38
050616,21.49
050617,3.62
050618,1.74
050619,3.14
050620,15.61
050621,1.26
050700,4.63
050701,9.38
050702,5.97
050703,1.55
050704,4.38
050705,4.01
050706,2.94
050707,5.16
050708,1.96
050800,4.58
050801,13.30
050802,1.69
050803,4.59
050804,6.76
050805,4.98
050806,1.77
050807,7.22
050808,3.14
050809,13.00
050810,6.43
050900,5.29
050901,9.31
050902,8.02
050903,8.24
050904,15.03
050905,2.81
050906,4.29
050907,6.91
050908,2.61
