Ubigeo,Densidad
220511,30.03
220600,4.46
220601,96.85
220602,5.65
220603,0.85
220604,3.12
220605,21.91
220700,18.68
220701,46.59
220702,10.71
220703,26.25
220704,3.62
220705,12.86
220706,39.73
220707,40.67
220708,20.56
220709,11.40
220710,15.74
220800,48.34
220801,137.21
220802,15.55
220803,88.31
220804,131.75
220805,14.84
220806,34.89
220807,53.33
220808,32.61
220809,273.71
220900,34.18
220901,1119.44
220902,3.14
220903,48.05
220904,9.83
220905,4.50
220906,4.97
220907,3.09
220908,19.83
220909,151.50
220910,751.52
220911,3.02
220912,18.00
220913,70.51
220914,7.20
221000,11.83
221001,22.91
221002,13.31
221003,4.74
221004,1.36
221005,27.83
230000,20.49
230100,37.98
230101,49.51
230102,91.81
230103,27.58
230104,184.20
230105,1.85
230111,10.51
230106,3.41
230107,1.40
230108,70.03
230109,2.89
230110,587.32
230200,2.70
230201,2.12
230202,2.66
230203,2.21
230204,2.97
230205,5.36
230206,18.95
230300,3.68
230301,2.33
230302,5.13
230303,3.33
230400,2.16
230401,4.22
230402,0.82
230403,0.77
230404,0.87
230405,1.39
230406,1.39
230407,2.61
230408,1.67
240000,48.16
240100,86.09
240101,647.51
240102,176.80
240103,146.26
240104,9.24
240105,14.21
240106,38.42
240200,9.92
240201,19.18
240202,2.75
240203,10.17
240300,65.56
240301,192.71
240302,377.52
240303,8.74
240304,32.34
250000,4.86
250100,10.43
250101,14.31
250102,13.45
250103,1.29
250104,0.79
250105,174.40
250106,2.78
250107,150.91
250200,1.27
250201,2.24
250202,0.81
250203,1.18
250204,0.22
250300,7.00
250301,6.28
250302,10.22
250303,3.62
250304,13.09
250305,26.90
250400,0.16
250401,0.16
